chi,best_restart_idx,seed,converged,elapsed_sec,fidelity,entropy,final_energy,error_message
2,1,21042,1,4.058052743999724,0.9449175237077937,0.4829780165297899,-3.2645902186285465,
4,0,40042,1,4.781798236001123,0.999248209731147,0.4505266255926871,-3.3730153166271166,
8,1,81042,1,5.220433823000349,0.9999609292204397,0.45693132542794807,-3.374790324800056,
16,3,163042,1,4.155609532999733,0.9999999983061723,0.4569728443082037,-3.374932597727644,
