chi,entropy,fidelity,energy,converged,ed_entropy,entropy_error,error_message
2,0.04487671166341583,0.10191225990415444,-10.1277764272728,True,0.17890713707831588,0.13403042541490004,
4,0.1785967119236487,0.15824162667245142,-10.172466765124822,True,0.17890713707831588,0.000310425154667171,
8,0.6460361806027406,0.21752049988001673,-10.245179156919866,True,0.17890713707831588,0.46712904352442475,
16,0.6350815653174202,0.2180971829234031,-10.25166178353498,True,0.17890713707831588,0.45617442823910437,
