chi,restart_idx,seed,converged,num_steps,elapsed_sec,fidelity,entropy,final_energy,error_message
4,0,40042,1,120,14.892786447000617,0.6904700808070974,0.33936069836471344,-6.7679010475834875,
4,1,41042,1,120,12.346277407999878,0.6950635147181731,0.3399756711352696,-6.767643802553735,
4,2,42042,1,120,12.554032011001254,0.6872852315253608,0.3151935778074788,-6.773596041053403,
4,3,43042,1,120,12.354584307999176,0.6885213999918952,0.3741157515439202,-6.768060277365255,
4,4,44042,1,120,12.400683501000458,0.7412519204903284,0.3452407185811751,-6.790621468169655,
4,5,45042,1,120,12.038137669000207,0.749778493488637,0.3761935799427025,-6.778996430565463,
4,6,46042,1,120,12.097688903000744,0.6599807961744999,0.34757754886405345,-6.748725737529454,
4,7,47042,1,120,11.957603229999222,0.6304219167761429,0.31480150575876925,-6.752642937644515,
8,0,80042,1,120,16.769334591999723,0.7216175419737583,0.36623645974504515,-6.7796517653560695,
8,1,81042,1,120,16.243697247000455,0.8668657226012711,0.38791885390125547,-6.823009645878775,
8,2,82042,1,120,16.363729867000075,0.7437180936970494,0.3480572820994578,-6.785808325702503,
8,3,83042,1,120,16.351898496999638,0.8421825396884774,0.3751369458876618,-6.816593057043484,
8,4,84042,1,120,16.110100813000827,0.8835862818660285,0.3897375781610815,-6.825277243168812,
8,5,85042,1,120,16.51802659399982,0.7258062395173825,0.36490177300260296,-6.788639398147992,
8,6,86042,1,120,16.289033163999193,0.7946903702888004,0.37424450660479064,-6.80431790372486,
8,7,87042,1,120,16.20603857899914,0.7401025373494307,0.35565274181779594,-6.801838595092789,
16,0,160042,1,120,139.3230956319985,0.9052347981999308,0.4182466777958138,-6.840468394387068,
16,1,161042,1,120,128.9809492860004,0.9157933765036594,0.4002154850495507,-6.84041092126148,
16,2,162042,1,120,124.58245842000179,0.83627096656295,0.3782920871431477,-6.804296184583715,
16,3,163042,1,120,124.21242958699804,0.8721011758186122,0.38423477793669153,-6.829543797299438,
16,4,164042,1,120,124.61669123899992,0.875499044624188,0.3719056582480682,-6.821848773804744,
16,5,165042,1,120,127.65115267600049,0.909731388745121,0.4199114559542259,-6.834731022417222,
16,6,166042,1,120,125.79594164199807,0.8840962366607971,0.38026121444673905,-6.829618663428289,
16,7,167042,1,120,125.51983344700056,0.8762180195681989,0.3904324531462437,-6.8291820471725,
