step,return_prob,log_step,log_return_prob
10,0.21456898502522476,2.302585092994046,-1.53912398380979
20,0.12549125261756058,2.995732273553991,-2.0755192230979556
40,0.08602150857712164,3.6888794541139363,-2.4531579142643816
80,0.05437166751286893,4.382026634673881,-2.911912078571073
160,0.029352244358020432,5.075173815233827,-3.5283862668745334
320,0.019045165677662634,5.768320995793772,-3.9609419798159697
640,0.012840907043456811,6.461468176353717,-4.355119341201581
1280,0.0078652273142681,7.154615356913663,-4.845303840884706
