chi,restart_idx,seed,converged,num_steps,elapsed_sec,fidelity,entropy,final_energy,error_message
2,0,20042,1,40,4.743114162999973,0.7588612936279147,0.2887844849986233,-3.214265701334819,
2,1,21042,1,40,1.3859476989998711,0.7845100459631082,0.23900111571133917,-3.1641298361887373,
4,0,40042,1,40,1.683967604000145,0.9716306041486217,0.39236281882426516,-3.3337224729068495,
4,1,41042,1,40,1.3053681840001445,0.9773957057824346,0.38524934127575283,-3.337714955488983,
8,0,80042,1,40,1.7761678159999974,0.9952098091848175,0.4295509733460735,-3.3629552911813567,
8,1,81042,1,40,1.693048140999963,0.9887859366314358,0.39474023821902654,-3.3543060530428424,
