chi,best_restart_idx,seed,converged,elapsed_sec,fidelity,entropy,final_energy,error_message
2,1,21042,1,2.1126092179999887,0.09565698076975743,0.076556679871157,-10.127089807507932,
4,1,41042,1,2.3259470359998886,0.1220858872370848,0.10656967515550769,-10.157548837766184,
8,0,80042,1,3.154452484000103,0.2112890514244978,0.6353923311510188,-10.228131212670721,
