chi,restart_idx,seed,converged,num_steps,elapsed_sec,fidelity,entropy,final_energy,error_message
2,0,20042,1,40,5.683128030000034,0.0746180428738079,0.011710176687999514,-10.084476230385075,
2,1,21042,1,40,2.1126092179999887,0.09565698076975743,0.076556679871157,-10.127089807507932,
4,0,40042,1,40,2.8737390399999185,0.11975345915550052,0.0991991386394982,-10.155800308582123,
4,1,41042,1,40,2.3259470359998886,0.1220858872370848,0.10656967515550769,-10.157548837766184,
8,0,80042,1,40,3.154452484000103,0.2112890514244978,0.6353923311510188,-10.228131212670721,
8,1,81042,1,40,2.5577500749998308,0.12158614568921561,0.09211847744518067,-10.146086684305399,
