chi,restart_idx,seed,converged,num_steps,elapsed_sec,fidelity,entropy,final_energy,error_message
8,0,80042,1,120,18.099315416002355,0.7507665168615435,0.36840634125121424,-6.791185128710561,
8,1,81042,1,120,15.215983471000072,0.878216559023581,0.38136107351661686,-6.816965028358201,
8,2,82042,1,120,14.551912143000663,0.8794992954917118,0.37486079188872284,-6.822425322786372,
8,3,83042,1,120,14.51759956299793,0.8772159381804364,0.3855831577980824,-6.82583252537872,
8,4,84042,1,120,14.593392282000423,0.8839459740615923,0.37728587666311286,-6.822585229316959,
8,5,85042,1,120,14.745525668000482,0.8647686710659633,0.3720208303698199,-6.820961499647387,
8,6,86042,1,120,14.925317668999924,0.8332638305569406,0.37560276460346886,-6.805856130577896,
8,7,87042,1,120,14.372154261000105,0.6684264261279564,0.33668481804215644,-6.768893097377993,
8,8,88042,1,120,14.59440869899845,0.8539293132039495,0.37151287151633966,-6.812871012043178,
8,9,89042,1,120,14.481150435000018,0.8989908330104057,0.44454413868395,-6.834367483372416,
8,10,90042,1,120,14.535472560000926,0.8262054997815993,0.3427006105287354,-6.807345259105283,
8,11,91042,1,120,14.438730851998116,0.8715585270750537,0.3725800186579074,-6.818719836853746,
16,0,160042,1,120,131.48870646200157,0.8713266756518173,0.39941720364828764,-6.82622773004533,
16,1,161042,1,120,125.51396000500245,0.9000184785928561,0.41664886745667495,-6.8315702480800224,
16,2,162042,1,120,124.90037111000129,0.8677393823268644,0.4036355917784289,-6.827235516434048,
16,3,163042,1,120,124.98299114999827,0.8745695529337648,0.38474867221962983,-6.826956905985298,
16,4,164042,1,120,123.56860549900011,0.8929299621666781,0.4002946921621434,-6.830059765013911,
16,5,165042,1,120,124.44882195100217,0.8905192400155134,0.37901389731783125,-6.814791594654898,
16,6,166042,1,120,125.67546058500011,0.9035392308192841,0.4044861581298404,-6.833533526960931,
16,7,167042,1,120,125.38195879800332,0.8922355254415198,0.40818427838692356,-6.832872670369671,
16,8,168042,1,120,126.95301326700064,0.8814483895563066,0.38525959582356945,-6.814160785846655,
16,9,169042,1,120,125.62040304900074,0.9033543846767291,0.41513559514341625,-6.831032259779662,
16,10,170042,1,120,122.8032208830009,0.9003924294156608,0.40800172354722697,-6.831504000860556,
16,11,171042,1,120,124.36697560899847,0.8939255657859513,0.41435663039935255,-6.819588242898031,
