chi,restart_idx,seed,converged,num_steps,elapsed_sec,fidelity,entropy,final_energy,error_message
16,0,160042,1,120,140.49718702899918,0.8703013997361716,0.38164488296312726,-6.828353489457034,
16,1,161042,1,120,125.17271637300291,0.8732895509903446,0.39660833744970697,-6.82410972376394,
16,2,162042,1,120,124.55630265199943,0.8913430527776356,0.408531508984547,-6.830911307243067,
16,3,163042,1,120,124.13709052900231,0.9043327803020512,0.39098784254381697,-6.839491669343957,
16,4,164042,1,120,123.87630194000303,0.8901052392411404,0.40885217755722064,-6.832802075200958,
16,5,165042,1,120,125.30017066200162,0.9099523045385598,0.3914282264566899,-6.832611242059163,
16,6,166042,1,120,124.80566907899993,0.8856855644003343,0.4141228227019902,-6.836088715134149,
16,7,167042,1,120,125.89660744600042,0.8322645761668824,0.3566545693182411,-6.8164302833115205,
16,8,168042,1,120,126.04496115299844,0.9311545176812197,0.4563715196846902,-6.845316018110023,
16,9,169042,1,120,127.87447507699835,0.8815992943422176,0.39992533744533365,-6.821390128802845,
16,10,170042,1,120,128.80423373699887,0.857764462071042,0.37160265800183756,-6.823577835641927,
16,11,171042,1,120,130.34033135400023,0.862082846340548,0.3926815601150986,-6.822670464589986,
16,12,172042,1,120,130.2296654109996,0.8935333500480397,0.3822398881072613,-6.826377163019149,
16,13,173042,1,120,130.76257805600108,0.8265710723026127,0.39151247083632834,-6.810055689913016,
16,14,174042,1,120,128.3825287590007,0.9670762489329405,0.37965157743664024,-6.873646922186072,
16,15,175042,1,120,128.58865157400214,0.8897207866317423,0.409677058696906,-6.8337198725922175,
16,16,176042,1,120,128.31382839399885,0.8611858839153497,0.4262465681161923,-6.820642009546027,
16,17,177042,1,120,130.08106027800022,0.8967861766473584,0.40581218946899544,-6.829551614912731,
16,18,178042,1,120,128.96002597700135,0.8775308050751295,0.38131584289413456,-6.8282635424717935,
16,19,179042,1,120,131.1810252920004,0.8988594622354669,0.38185851680536254,-6.823869423082506,
16,20,180042,1,120,130.20027689900235,0.9008883058914965,0.46121895596914253,-6.844178508719326,
16,21,181042,1,120,130.07459759099947,0.8836266749254994,0.40099725148020116,-6.8151166082480055,
16,22,182042,1,120,129.95671369199772,0.9442166993262788,0.4904721031387764,-6.854398271130073,
16,23,183042,1,120,129.08382608000102,0.8788452760568677,0.3742075557767347,-6.825308435422693,
16,24,184042,1,120,128.62962094499744,0.9203127230121896,0.41685659618030513,-6.8290498107841415,
16,25,185042,1,120,127.95597491899753,0.8742569552295243,0.3898523895997127,-6.826300807491744,
16,26,186042,1,120,127.85599145000015,0.8844490193212712,0.40946580989650966,-6.832781533190306,
16,27,187042,1,120,128.46001581100063,0.8862790906048033,0.3767261766262111,-6.8277775665876055,
16,28,188042,1,120,127.91310529000111,0.7411338780129731,0.3715959875093056,-6.792560189311478,
16,29,189042,1,120,125.97354696399998,0.8944662457088178,0.41120100867163206,-6.833833019603692,
16,30,190042,1,120,126.00506092899741,0.9045417959738921,0.40623645806024317,-6.834668756687146,
16,31,191042,1,120,124.99150601099973,0.852627289232953,0.3728501038040811,-6.813549599631614,
