chi,restart_idx,seed,converged,num_steps,elapsed_sec,fidelity,entropy,final_energy,error_message
8,0,80042,1,120,18.470931987001677,0.8956893471592845,0.4136312058776642,-6.835477651070125,
8,1,81042,1,120,15.171658104998642,0.8006128381288331,0.34986555029936506,-6.801909273035021,
8,2,82042,1,120,15.22009844599961,0.7669069036735393,0.37008998233957424,-6.793827023709373,
8,3,83042,1,120,15.397495010001876,0.8726416908791857,0.3733804571284303,-6.824201048172608,
8,4,84042,1,120,15.252230423000583,0.7648370759707723,0.38925358875277283,-6.799481236510133,
8,5,85042,1,120,15.403674622000835,0.7869401529640182,0.38761190534014384,-6.800654277138764,
8,6,86042,1,120,15.155074225000135,0.7249296535014758,0.3466432821622818,-6.776370608972721,
8,7,87042,1,120,15.448822381000355,0.8504230170607366,0.3468340306517406,-6.810986150307679,
8,8,88042,1,120,15.362556874999427,0.7891817255472052,0.3701239288566315,-6.798576233424805,
8,9,89042,1,120,15.470820779999485,0.8661504336914098,0.38476806400526414,-6.823924051381642,
8,10,90042,1,120,15.102124986999115,0.8669141624852734,0.37450363254649666,-6.8235669579689056,
8,11,91042,1,120,15.2583624459985,0.7086180914169387,0.3483639744933947,-6.775744951588742,
8,12,92042,1,120,15.249591703002807,0.6710948816715849,0.3551149671700943,-6.773289035984755,
8,13,93042,1,120,15.368086942002265,0.8046953757932681,0.3706347564207615,-6.799656656461336,
8,14,94042,1,120,15.175686724000116,0.8195663161514071,0.37691302825675127,-6.801807105573315,
8,15,95042,1,120,15.409420476000378,0.8703556951083143,0.3722106705441971,-6.822918170872296,
16,0,160042,1,120,127.78148204800164,0.8923628203732712,0.4096275105985789,-6.832792287063411,
16,1,161042,1,120,118.8047769650002,0.9087791798005572,0.4129531859862197,-6.826181361188424,
16,2,162042,1,120,118.81787600999814,0.8822401664870996,0.3777702438181648,-6.826377893136531,
16,3,163042,1,120,119.51667523799915,0.8564101065104324,0.36298417650173354,-6.816077675505704,
16,4,164042,1,120,120.62415388499721,0.9749390270578193,0.4099806040980654,-6.880900148218598,
16,5,165042,1,120,122.97616344400012,0.9039347153256978,0.3967136707030159,-6.8310215121552815,
16,6,166042,1,120,121.16007061799974,0.8844677914617389,0.38995190834457727,-6.820675949797644,
16,7,167042,1,120,121.30920344699916,0.8985141969036516,0.40075116322518534,-6.832554984500286,
16,8,168042,1,120,122.60531475899916,0.905388418611876,0.4034216072241356,-6.827632275267935,
16,9,169042,1,120,119.52849430800052,0.8875208135888857,0.4051350598910545,-6.8314588695399365,
16,10,170042,1,120,118.66330171300069,0.8741830778326003,0.3812545065623892,-6.826557609359878,
16,11,171042,1,120,117.8594804960012,0.8569339638075022,0.3817443649969721,-6.82459820291951,
16,12,172042,1,120,119.67639668000265,0.873276582902587,0.3870438820906455,-6.828140519136077,
16,13,173042,1,120,117.4045595030002,0.8729343287270134,0.382846594424189,-6.828818600979363,
16,14,174042,1,120,117.60081435299799,0.8641076866198779,0.3757361811253448,-6.814867500622274,
16,15,175042,1,120,117.5222453690003,0.9222188106951617,0.4012543722301739,-6.8387637301546,
