chi,restart_idx,seed,entropy,fidelity,energy,converged,elapsed_sec,ed_entropy,entropy_error,error_message
2,0,20042,0.28219892763524257,0.4449281540402406,-6.617043525548983,True,14.720028710000406,0.5306936301739674,0.24849470253872485,
2,1,21042,0.2975144508038346,0.4471853246567864,-6.610147217643673,True,11.793452390998937,0.5306936301739674,0.23317917937013283,
2,2,22042,0.3020156171574548,0.43683121308513606,-6.60996357875355,True,11.764223723999748,0.5306936301739674,0.22867801301651264,
2,3,23042,0.2546268876430623,0.4868694595963377,-6.6332150371040495,True,11.935924307999812,0.5306936301739674,0.27606674253090513,
4,0,40042,0.3738615236371002,0.7349115271784814,-6.787276922832914,True,13.609144509999169,0.5306936301739674,0.15683210653686724,
4,1,41042,0.403499264179342,0.8218492678535163,-6.804984301592511,True,12.689919304000796,0.5306936301739674,0.1271943659946254,
4,2,42042,0.37412183962157286,0.7043203517206557,-6.765941852759851,True,12.610218623998662,0.5306936301739674,0.15657179055239456,
4,3,43042,0.3260937798775394,0.6275163255783347,-6.733332293540031,True,12.655111223000858,0.5306936301739674,0.20459985029642802,
8,0,80042,0.3772503315594535,0.8595243432407725,-6.815548566889567,True,17.48017080200043,0.5306936301739674,0.15344329861451395,
8,1,81042,0.3679749920531927,0.7874355945796091,-6.795821518208866,True,17.010163810999074,0.5306936301739674,0.16271863812077475,
8,2,82042,0.37673461101057765,0.8689328583356816,-6.812131980012494,True,16.94099707100031,0.5306936301739674,0.15395901916338978,
8,3,83042,0.3747781386686857,0.8643071793508894,-6.814676537577865,True,16.712090757000624,0.5306936301739674,0.15591549150528172,
16,0,160042,0.38148341238213757,0.8751089287570755,-6.820758315875687,True,139.72636039600002,0.5306936301739674,0.14921021779182986,
16,1,161042,0.3987675804139208,0.8951842775809749,-6.829828029552049,True,130.8351580819999,0.5306936301739674,0.13192604976004663,
16,2,162042,0.3881303171645692,0.871872307758807,-6.825235014731921,True,133.63659395899958,0.5306936301739674,0.14256331300939823,
16,3,163042,0.41194192554907816,0.8945462828461344,-6.833773198810114,True,130.08815176900134,0.5306936301739674,0.11875170462488926,
