chi,restart_idx,seed,entropy,fidelity,energy,converged,elapsed_sec,ed_entropy,entropy_error,error_message
2,3,23042,0.2546268876430623,0.4868694595963377,-6.6332150371040495,True,11.935924307999812,0.5306936301739674,0.27606674253090513,
4,1,41042,0.403499264179342,0.8218492678535163,-6.804984301592511,True,12.689919304000796,0.5306936301739674,0.1271943659946254,
8,2,82042,0.37673461101057765,0.8689328583356816,-6.812131980012494,True,16.94099707100031,0.5306936301739674,0.15395901916338978,
16,1,161042,0.3987675804139208,0.8951842775809749,-6.829828029552049,True,130.8351580819999,0.5306936301739674,0.13192604976004663,
