chi,entropy,fidelity,energy,converged,ed_entropy,entropy_error,error_message
2,0.10716715165260492,0.11982690196602437,-10.152768490717854,True,0.1789071370783165,0.0717399854257116,
4,0.10778643203316524,0.12207261328760657,-10.158495513551285,True,0.1789071370783165,0.07112070504515128,
8,0.19739119377328987,0.1549882059825538,-10.177532746556244,True,0.1789071370783165,0.018484056694973355,
16,0.6350824231410145,0.21809396685644128,-10.251661785936387,True,0.1789071370783165,0.45617528606269797,
